,Performance,Potential,New Brand,Age,next_year,next_price,predicted
119,0.048745603535894064,0.3757188574123834,Johnnie Walker,18.0,2018.0,102.1,51.6704450790202
120,0.2162630375496793,0.5599654430579568,Other,0.0,2018.0,134.4,133.90320407846028
121,0.09983731415043234,0.358092939742843,Wolfburn,0.0,2018.0,61.7,69.51994810725552
122,0.3258554953369246,0.5805290136724206,Aberfeldy,21.0,2018.0,177.3,177.90835197113302
123,0.06384351775113083,0.3985482415659908,Glenfiddich,14.0,2018.0,53.0,59.691508408727344
124,0.21605496680726544,0.5599654430579568,Jura,0.0,2018.0,117.9,133.82348079113547
125,0.23513496215199284,0.41064198250892686,Bunnahabhain,18.0,2018.0,141.1,126.50726130956637
126,0.3446418263611332,0.6072752684192592,Glenfiddich,21.0,2018.0,181.0,187.72632218807843
127,0.3474366785820098,0.5379564629606167,Balvenie,21.0,2018.0,182.7,182.00713830025933
128,0.20438616136214227,0.5599654430579568,Jura,0.0,2018.0,164.5,129.35252298639247
129,0.09851093332575449,0.358092939742843,Talisker,0.0,2018.0,80.3,69.01173904351919
130,0.14451265279781972,0.39107234256244444,Highland Park,0.0,2018.0,113.9,89.8679745439709
131,0.10009159301433819,0.32727100081073274,Balvenie,12.0,2018.0,67.9,66.59824830418566
132,0.5739212023910608,0.9425401559727036,Dewar's,0.0,2018.0,335.8,308.41628621791386
133,0.12929507603721208,0.3757188574123834,Johnnie Walker,18.0,2018.0,102.1,82.53335512090364
134,0.08973576145823986,0.358092939742843,Craigellachie,0.0,2018.0,64.4,65.64949058193316
135,0.12729128862551917,0.5599654430579568,Darkness!,0.0,2018.0,80.5,99.8132591270304
136,0.07414740981896706,0.358092939742843,Cardhu,0.0,2018.0,53.2,59.6767401788922
137,0.09859094966061796,0.367885116225921,The Macallan,10.0,2018.0,94.0,70.0015791798235
138,0.08722973897275396,0.40086451904552245,Highland Park,10.0,2018.0,60.4,68.87893762242257
139,0.2265943795923824,0.5599654430579568,Royal Lochnagar,0.0,2018.0,157.421875,137.8617064749598
140,0.033500512667019824,0.37278120446746005,The Singleton,15.0,2018.0,45.390625,45.541462205996694
141,0.01587967260315265,0.3757188574123834,Johnnie Walker,18.0,2018.0,43.26171875,39.07770873550457
142,0.013874188706376328,0.3698435515225367,Dalwhinnie,12.0,2018.0,36.71875,37.733789225850245
143,0.0251017395230536,0.358092939742843,Glen Garioch,0.0,2018.0,40.625,40.884660438405156
144,0.0,0.358092939742843,BenRiach,0.0,2018.0,26.904296875,31.266810628606997
145,0.12029368087044977,0.5599654430579568,Talisker,0.0,2018.0,96.5625,97.13209273449498
146,0.07188874836490165,0.3757188574123834,The Singleton,18.0,2018.0,68.5,60.537850099046736
147,0.016836251456387133,0.358092939742843,The Singleton,0.0,2018.0,36.71875,37.71769972824917
148,0.2868674188413919,0.0,,,,,
